,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Faya,29,SA,1598842842,29,18.39,42.45,68.0,2.57
1,Avarua,51,CK,1598842843,69,-21.21,-159.78,75.2,6.93
2,Hilo,90,US,1598842845,65,19.73,-155.09,80.6,4.7
3,Punta Arenas,4,CL,1598842646,89,-53.15,-70.92,32.0,3.36
4,Mataura,0,NZ,1598842847,47,-46.19,168.86,61.68,15.21
5,Ushuaia,90,AR,1598842705,92,-54.8,-68.3,30.2,20.8
6,Rikitea,27,PF,1598842849,82,-23.12,-134.97,69.46,17.07
7,Mar del Plata,0,AR,1598842850,60,-38.0,-57.56,46.0,4.7
8,Comodoro Rivadavia,73,AR,1598842692,70,-45.87,-67.5,42.8,2.24
9,Dunedin,100,NZ,1598842804,44,-45.87,170.5,60.71,11.05
10,Saint-Philippe,42,RE,1598842854,72,-21.36,55.77,68.0,5.82
11,Tual,0,ID,1598842855,86,-5.67,132.75,79.59,12.53
12,Rosarito,5,MX,1598842703,77,32.33,-117.03,69.01,9.17
13,Yellowknife,20,CA,1598842842,57,62.46,-114.35,51.8,8.05
14,Bredasdorp,0,ZA,1598842859,86,-34.53,20.04,41.0,3.36
15,Berlevåg,4,NO,1598842860,76,70.86,29.09,45.23,11.63
16,Tayu,26,ID,1598842861,53,-6.54,111.05,86.11,7.65
17,Narsaq,100,GL,1598842862,61,60.92,-46.05,48.2,4.7
18,San Rafael,0,AR,1598842644,45,-34.62,-68.33,48.2,5.1
19,Vaini,75,TO,1598842865,78,-21.2,-175.2,80.6,14.99
20,Itarema,0,BR,1598842866,77,-2.92,-39.92,77.72,16.49
21,Geraldton,0,AU,1598842670,68,-28.77,114.6,68.0,9.17
22,Bathsheba,20,BB,1598842863,78,13.22,-59.52,80.6,6.93
23,Nouakchott,40,MR,1598842869,83,18.09,-15.98,80.6,6.93
24,Dondo,75,MZ,1598842871,88,-19.61,34.74,75.2,10.29
25,Pacific Grove,75,US,1598842597,77,36.62,-121.92,62.6,3.36
26,Katsuura,20,JP,1598842873,74,35.13,140.3,90.0,11.41
27,Ribeira Grande,12,PT,1598842874,93,38.52,-28.7,74.35,6.17
28,Ocós,75,GT,1598842875,100,14.51,-92.19,77.0,2.95
29,Saint-Ambroise,75,CA,1598842877,93,48.55,-71.33,48.2,8.05
